"keys","de","en_GB","en_IN","en_US","es_ES","es_LA","fr","it","ja","ko","pt_BR","pt_PT","ru","zh_Hans","zh_Hant"
"DEBUG_GAME_STATE","  Status: {state}","  State: {state}","  State: {state}","  State: {state}","  Estado: {state}","  Estado: {state}","  État: {state}","  Stato: {state}","  状態: {state}","  상태: {state}","  Estado: {state}","  Estado: {state}","  Состояние: {state}","  状态: {state}","  狀態: {state}"
"DEBUG_GAME_VERSION","  Spielversion: ","  Game Version: ","  Game Version: ","  Game Version: ","  Versión del Juego: ","  Versión del Juego: ","  Version du Jeu: ","  Versione del Gioco: ","  ゲームバージョン: ","  게임 버전: ","  Versão do Jogo: ","  Versão do Jogo: ","  Версия игры: ","  游戏版本: ","  遊戲版本: "
"DEBUG_LAST_SAVE","  Letzter Speicherstand: N/A","  Last Save: N/A","  Last Save: N/A","  Last Save: N/A","  Última Partida Guardada: N/A","  Último Guardado: N/A","  Dernière Sauvegarde: N/A","  Ultimo Salvataggio: N/A","  最終セーブ: N/A","  마지막 저장: N/A","  Último Save: N/A","  Último Guardar: N/A","  Последнее сохранение: Н/Д","  上次保存: 不适用","  上次儲存: 不適用"
"DEBUG_LOG_TITLE","Globales Ereignisprotokoll","Global Events Log","Global Events Log","Global Events Log","Registro de Eventos Globales","Registro de Eventos Globales","Journal des Événements Globaux","Registro Eventi Globali","グローバルイベントログ","글로벌 이벤트 로그","Log de Eventos Globais","Registo de Eventos Globais","Журнал глобальных событий","全局事件日志","全域事件日誌"
"DEBUG_MONITOR","  Monitor: {monitor}","  Monitor: {monitor}","  Monitor: {monitor}","  Monitor: {monitor}","  Monitor: {monitor}","  Monitor: {monitor}","  Moniteur: {monitor}","  Monitor: {monitor}","  モニター: {monitor}","  모니터: {monitor}","  Monitor: {monitor}","  Monitor: {monitor}","  Монитор: {monitor}","  显示器: {monitor}","  顯示器: {monitor}"
"DEBUG_MONITOR_INFO","Monitor {id}: {size} @ {hz}Hz","Monitor {id}: {size} @ {hz}Hz","Monitor {id}: {size} @ {hz}Hz","Monitor {id}: {size} @ {hz}Hz","Monitor {id}: {size} @ {hz}Hz","Monitor {id}: {size} @ {hz}Hz","Moniteur {id}: {size} @ {hz}Hz","Monitor {id}: {size} @ {hz}Hz","モニター {id}: {size} @ {hz}Hz","모니터 {id}: {size} @ {hz}Hz","Monitor {id}: {size} @ {hz}Hz","Monitor {id}: {size} @ {hz}Hz","Монитор {id}: {size} @ {hz}Гц","显示器 {id}: {size} @ {hz}Hz","顯示器 {id}: {size} @ {hz}Hz"
"DEBUG_OS","  Betriebssystem: {os}","  OS: {os}","  OS: {os}","  OS: {os}","  SO: {os}","  SO: {os}","  OS: {os}","  SO: {os}","  OS: {os}","  OS: {os}","  SO: {os}","  SO: {os}","  ОС: {os}","  操作系统: {os}","  作業系統: {os}"
"DEBUG_PROCESSOR","  Prozessor: {processor}","  Processor: {processor}","  Processor: {processor}","  Processor: {processor}","  Procesador: {processor}","  Procesador: {processor}","  Processeur: {processor}","  Processore: {processor}","  プロセッサー: {processor}","  프로세서: {processor}","  Processador: {processor}","  Processador: {processor}","  Процессор: {processor}","  处理器: {processor}","  處理器: {processor}"
"DEBUG_RAM","  RAM: {ram}","  RAM: {ram}","  RAM: {ram}","  RAM: {ram}","  RAM: {ram}","  RAM: {ram}","  RAM: {ram}","  RAM: {ram}","  RAM: {ram}","  RAM: {ram}","  RAM: {ram}","  RAM: {ram}","  ОЗУ: {ram}","  内存: {ram}","  記憶體: {ram}"
"DEBUG_SIGNAL_RECEIVED","Signal '{signal}' empfangen","Signal '{signal}' received","Signal '{signal}' received","Signal '{signal}' received","Señal '{signal}' recibida","Señal '{signal}' recibida","Signal '{signal}' reçu","Segnale '{signal}' ricevuto","シグナル '{signal}' を受信しました","신호 '{signal}' 수신됨","Sinal '{signal}' recebido","Sinal '{signal}' recebido","Получен сигнал '{signal}'","收到信号 '{signal}'","收到信號 '{signal}"
"DEBUG_SYSTEM_SECTION","[b]System[/b]","[b]System[/b]","[b]System[/b]","[b]System[/b]","[b]Sistema[/b]","[b]Sistema[/b]","[b]Système[/b]","[b]Sistema[/b]","[b]システム[/b]","[b]시스템[/b]","[b]Sistema[/b]","[b]Sistema[/b]","[b]Система[/b]","[b]系统[/b]","[b]系統[/b]"
"DEBUG_VIDEO_ADAPTER","  Grafikkarte: {adapter}","  Video Adapter: {adapter}","  Video Adapter: {adapter}","  Video Adapter: {adapter}","  Adaptador de Vídeo: {adapter}","  Adaptador de Video: {adapter}","  Adaptateur Vidéo: {adapter}","  Adattatore Video: {adapter}","  ビデオアダプター: {adapter}","  비디오 어댑터: {adapter}","  Adaptador de Vídeo: {adapter}","  Adaptador de Vídeo: {adapter}","  Видеоадаптер: {adapter}","  显卡: {adapter}","  顯示卡: {adapter}"
"DEBUG_VIDEO_DRIVER","  Grafiktreiber: {driver}","  Video Driver: {driver}","  Video Driver: {driver}","  Video Driver: {driver}","  Controlador de Vídeo: {driver}","  Controlador de Video: {driver}","  Pilote Vidéo: {driver}","  Driver Video: {driver}","  ビデオドライバー: {driver}","  비디오 드라이버: {driver}","  Driver de Vídeo: {driver}","  Controlador de Vídeo: {driver}","  Видеодрайвер: {driver}","  显卡驱动: {driver}","  顯示卡驅動程式: {driver}"
"DEBUG_VIDEO_RENDERER","  Video-Renderer: {renderer}","  Video Renderer: {renderer}","  Video Renderer: {renderer}","  Video Renderer: {renderer}","  Renderizador de Vídeo: {renderer}","  Renderizador de Video: {renderer}","  Rendu Vidéo: {renderer}","  Renderer Video: {renderer}","  ビデオレンダラー: {renderer}","  비디오 렌더러: {renderer}","  Renderizador de Vídeo: {renderer}","  Renderizador de Vídeo: {renderer}","  Видеорендерер: {renderer}","  视频渲染器: {renderer}","  視訊渲染器: {renderer}"
"DEBUG_WITH_ARGS"," mit Argumenten: {{args}}"," with arguments: {{args}}"," with arguments: {{args}}"," with arguments: {{args}}"," con argumentos: {{args}}"," con argumentos: {{args}}"," avec arguments: {{args}}"," con argomenti: {{args}}"," 引数付き: {{args}}"," 인수: {{args}}"," com argumentos: {{args}}"," com argumentos: {{args}}"," с аргументами: {{args}}"," 带参数: {{args}}"," 帶參數: {{args}}"
"ENEMY_DUMMY_DESC","Ein stationäres Ziel zum Üben.","A stationary target for practice.","A stationary target for practice.","A stationary target for practice.","Un objetivo estacionario para practicar.","Un objetivo estacionario para practicar.","Une cible stationnaire pour la pratique.","Un bersaglio stazionario per la pratica.","練習用の静止ターゲット。","연습용 고정 목표물입니다.","Um alvo estacionário para prática.","Um alvo estacionário para prática.","Стационарная цель для тренировок.","一个用于练习的静止目标。","一個用於練習的靜止目標。"
"ENEMY_DUMMY_NAME","Trainingspuppe","Training Dummy","Training Dummy","Training Dummy","Muñeco de Entrenamiento","Muñeco de Entrenamiento","Mannequin d'Entraînement","Manichino da Addestramento","訓練ダミー","훈련용 더미","Boneco de Treino","Boneco de Treino","Тренировочный манекен","训练假人","訓練假人"
"ENEMY_HUNTER_DESC","Ein agiler Feind, der den Spieler aktiv verfolgt.","An agile enemy that actively pursues the player.","An agile enemy that actively pursues the player.","An agile enemy that actively pursues the player.","Un enemigo ágil que persigue activamente al jugador.","Un enemigo ágil que persigue activamente al jugador.","Un ennemi agile qui poursuit activement le joueur.","Un nemico agile che insegue attivamente il giocatore.","プレイヤーを積極的に追跡する機敏な敵。","플레이어를 적극적으로 추격하는 민첩한 적입니다.","Um inimigo ágil que persegue ativamente o jogador.","Um inimigo ágil que persegue ativamente o jogador.","Ловкий враг, активно преследующий игрока.","一个积极追逐玩家的敏捷敌人。","一個積極追逐玩家的敏捷敵人。"
"ENEMY_HUNTER_NAME","Jäger","Hunter","Hunter","Hunter","Cazador","Cazador","Chasseur","Cacciatore","ハンター","사냥꾼","Caçador","Caçador","Охотник","猎人","獵人"
"ENEMY_PATROL_BOT_DESC","Ein Roboter, der einen festen Weg patrouilliert.","A robot that patrols a fixed path.","A robot that patrols a fixed path.","A robot that patrols a fixed path.","Un robot que patrulla un camino fijo.","Un robot que patrulla un camino fijo.","Un robot qui patrouille un chemin fixe.","Un robot che pattuglia un percorso fisso.","固定経路をパトロールするロボット。","고정된 경로를 순찰하는 로봇입니다.","Um robô que patrulha um caminho fixo.","Um robô que patrulha um caminho fixo.","Робот, патрулирующий фиксированный путь.","一个巡逻固定路径的机器人。","一個巡邏固定路徑的機器人。"
"ENEMY_PATROL_BOT_NAME","Patrouillenroboter","Patrol Bot","Patrol Bot","Patrol Bot","Robot Patrulla","Robot Patrulla","Robot Patrouilleur","Robot di Pattuglia","パトロールボット","순찰 로봇","Robô Patrulha","Robô Patrulha","Патрульный робот","巡逻机器人","巡邏機器人"
"INPUT_ATTACK_NAME","Angreifen","Attack","Attack","Attack","Atacar","Atacar","Attaquer","Attacca","攻撃","공격","Atacar","Atacar","Атака","攻击","攻擊"
"INPUT_CROUCH_NAME","Hocken","Crouch","Crouch","Crouch","Agacharse","Agacharse","S'accroupir","Accovacciati","しゃがむ","웅크리기","Abaixar","Agachar","Присесть","蹲伏","蹲伏"
"INPUT_INVENTORY_NAME","Inventar","Inventory","Inventory","Inventory","Inventario","Inventario","Inventaire","Inventario","インベントリ","인벤토리","Inventário","Inventário","Инвентарь","库存","庫存"
"INPUT_JUMP_NAME","Springen","Jump","Jump","Jump","Saltar","Saltar","Sauter","Salta","ジャンプ","점프","Pular","Saltar","Прыжок","跳跃","跳躍"
"INPUT_MOVE_DOWN_NAME","Nach unten bewegen","Move Down","Move Down","Move Down","Mover Abajo","Mover Abajo","Déplacer en Bas","Sposta in Basso","下に移動","아래로 이동","Mover Baixo","Mover Baixo","Движение вниз","向下移动","向下移動"
"INPUT_MOVE_LEFT_NAME","Nach links bewegen","Move Left","Move Left","Move Left","Mover Izquierda","Mover Izquierda","Déplacer à Gauche","Sposta a Sinistra","左に移動","왼쪽으로 이동","Mover Esquerda","Mover Esquerda","Движение влево","向左移动","向左移動"
"INPUT_MOVE_RIGHT_NAME","Nach rechts bewegen","Move Right","Move Right","Move Right","Mover Derecha","Mover Derecha","Déplacer à Droite","Sposta a Destra","右に移動","오른쪽으로 이동","Mover Direita","Mover Direita","Движение вправо","向右移动","向右移動"
"INPUT_MOVE_UP_NAME","Nach oben bewegen","Move Up","Move Up","Move Up","Mover Arriba","Mover Arriba","Déplacer en Haut","Sposta in Alto","上に移動","위로 이동","Mover Cima","Mover Cima","Движение вверх","向上移动","向上移動"
"INPUT_MUSIC_CHANGE_NAME","Musik wechseln","Change Music","Change Music","Change Music","Cambiar Música","Cambiar Música","Changer de Musique","Cambia Musica","音楽変更","음악 변경","Trocar Música","Mudar Música","Сменить музыку","切换音乐","切換音樂"
"INPUT_PAUSE_NAME","Pause","Pause","Pause","Pause","Pausar","Pausar","Pause","Pausa","一時停止","일시정지","Pausar","Pausar","Пауза","暂停","暫停"
"INPUT_RELOAD_NAME","Nachladen","Reload","Reload","Reload","Recargar","Recargar","Recharger","Ricarica","リロード","재장전","Recarregar","Recarregar","Перезарядка","重新装弹","重新裝彈"
"INPUT_SPECIAL_NAME","Spezialfähigkeit","Special Ability","Special Ability","Special Ability","Habilidad Especial","Habilidad Especial","Capacité Spéciale","Abilità Speciale","特殊能力","특수 능력","Habilidade Especial","Habilidade Especial","Особая способность","特殊能力","特殊能力"
"INPUT_SPRINT_NAME","Sprinten","Sprint","Sprint","Sprint","Correr","Correr","Sprinter","Scatto","スプリント","질주","Correr","Correr","Бег","冲刺","衝刺"
"INPUT_TOGGLE_CONSOLE_NAME","Konsole umschalten","Toggle Console","Toggle Console","Toggle Console","Alternar Consola","Alternar Consola","Basculer la Console","Attiva/Disattiva Console","コンソール切り替え","콘솔 전환","Alternar Console","Alternar Consola","Переключить консоль","切换控制台","切換控制台"
"ITEM_DAMAGE_BOOST_DESC","Erhöht vorübergehend Ihren Angriffsschaden.","Temporarily increases your attack damage.","Temporarily increases your attack damage.","Temporarily increases your attack damage.","Aumenta temporalmente tu daño de ataque.","Aumenta temporalmente tu daño de ataque.","Augmente temporairement vos dégâts d'attaque.","Aumenta temporaneamente il tuo danno d'attacco.","一時的に攻撃ダメージを増加させます。","일시적으로 공격 피해를 증가시킵니다.","Aumenta temporariamente o seu dano de ataque.","Aumenta temporariamente o seu dano de ataque.","Временно увеличивает ваш урон от атаки.","暂时增加你的攻击伤害。","暫時增加你的攻擊傷害。"
"ITEM_DAMAGE_BOOST_NAME","Schadensverstärkungstrank","Damage Boost Potion","Damage Boost Potion","Damage Boost Potion","Poción de Aumento de Daño","Poción de Aumento de Daño","Potion d'Augmentation des Dégâts","Pozione Aumento Danno","ダメージブーストポーション","피해 증폭 물약","Poção de Aumento de Dano","Poção de Aumento de Dano","Зелье усиления урона","伤害增益药水","傷害增益藥水"
"ITEM_GENERIC_DESC","Ein Platzhalter-Gegenstand.","A placeholder item.","A placeholder item.","A placeholder item.","Un objeto de relleno.","Un objeto de relleno.","Un objet de remplissage.","Un oggetto di riempimento.","プレースホルダーアイテム。","자리 표시자 아이템입니다.","Um item de preenchimento.","Um item de preenchimento.","Предмет-заполнитель.","一个占位符物品。","一個佔位符物品。"
"ITEM_GENERIC_NAME","Generischer Gegenstand","Generic Item","Generic Item","Generic Item","Objeto Genérico","Objeto Genérico","Objet Générique","Oggetto Generico","汎用アイテム","일반 아이템","Item Genérico","Item Genérico","Обычный предмет","通用物品","通用物品"
"ITEM_HEALING_POTION_DESC","Stellt einen Teil Ihrer Gesundheit wieder her.","Restores a portion of your health.","Restores a portion of your health.","Restores a portion of your health.","Restaura una porción de tu vida.","Restaura una porción de tu vida.","Restaure une partie de votre vie.","Ripristina una porzione della tua vita.","体力を一部回復します。","체력의 일부를 회복합니다.","Restaura uma porção da sua vida.","Restaura uma porção da sua vida.","Восстанавливает часть вашего здоровья.","恢复一部分生命值。","恢復一部分生命值。"
"ITEM_HEALING_POTION_NAME","Heiltrank","Healing Potion","Healing Potion","Healing Potion","Poción de Curación","Poción de Curación","Potion de Soin","Pozione Curativa","回復ポーション","회복 물약","Poção de Cura","Poção de Cura","Зелье исцеления","治疗药水","治療藥水"
"POPOVER_CONFIRM_USE_ITEM_MESSAGE","Möchten Sie diesen Gegenstand wirklich benutzen?","Are you sure you want to use this item?","Are you sure you want to use this item?","Are you sure you want to use this item?","¿Estás seguro de que quieres usar este objeto?","¿Estás seguro de que quieres usar este objeto?","Êtes-vous sûr de vouloir utiliser cet objet ?","Sei sicuro di voler usare questo oggetto?","このアイテムを使用してもよろしいですか？","이 아이템을 사용하시겠습니까?","Tem certeza que deseja usar este item?","Tem certeza que deseja usar este item?","Вы уверены, что хотите использовать этот предмет?","您确定要使用此物品吗？","您確定要使用此物品嗎？"
"POPOVER_CONFIRM_USE_ITEM_TITLE","Nutzung bestätigen","Confirm Use","Confirm Use","Confirm Use","Confirmar Uso","Confirmar Uso","Confirmer l'Utilisation","Conferma Utilizzo","使用を確認","사용 확인","Confirmar Uso","Confirmar Uso","Подтвердить использование","确认使用","確認使用"
"POPOVER_NO","Nein","No","No","No","No","No","Non","No","いいえ","아니요","Não","Não","Нет","否","否"
"POPOVER_YES","Ja","Yes","Yes","Yes","Sí","Sí","Oui","Sì","はい","예","Sim","Sim","Да","是","是"
"TOAST_ERROR_LOAD_FAILED_MESSAGE","Fehler beim Laden des Spielfortschritts.","Failed to load game progress.","Failed to load game progress.","Failed to load game progress.","Error al cargar el progreso del juego.","Error al cargar el progreso del juego.","Échec du chargement de la progression du jeu.","Impossibile caricare i progressi del gioco.","ゲームの進行状況のロードに失敗しました。","게임 진행 상황을 로드하지 못했습니다.","Falha ao carregar o progresso do jogo.","Falha ao carregar o progresso do jogo.","Не удалось загрузить прогресс игры.","加载游戏进度失败。","載入遊戲進度失敗。"
"TOAST_ERROR_SAVE_FAILED_MESSAGE","Fehler beim Speichern des Spielfortschritts.","Failed to save game progress.","Failed to save game progress.","Failed to save game progress.","Error al guardar el progreso del juego.","Error al guardar el progreso del juego.","Échec de la sauvegarde de la progression du jeu.","Impossibile salvare i progressi del gioco.","ゲームの進行状況の保存に失敗しました。","게임 진행 상황을 저장하지 못했습니다.","Falha ao salvar o progresso do jogo.","Falha ao guardar o progresso do jogo.","Не удалось сохранить прогресс игры.","保存游戏进度失败。","儲存遊戲進度失敗。"
"TOAST_ERROR_SAVE_FAILED_TITLE","Speichern fehlgeschlagen","Save Failed","Save Failed","Save Failed","Error al Guardar","Error al Guardar","Échec de la Sauvegarde","Salvataggio Fallito","保存に失敗しました","저장 실패","Falha ao Salvar","Falha ao Guardar","Ошибка сохранения","保存失败","儲存失敗"
"TOAST_ITEM_COLLECTED_MESSAGE","Sie haben einen Gegenstand aufgenommen!","You picked up an item!","You picked up an item!","You picked up an item!","¡Has recogido un objeto!","¡Has recogido un objeto!","Vous avez ramassé un objet !","Hai raccolto un oggetto!","アイテムを拾いました！","아이템을 획득했습니다!","Você pegou um item!","Recolheu um item!","Вы подобрали предмет!","你捡到了一件物品！","你撿到了一件物品！"
"TOAST_ITEM_COLLECTED_TITLE","Gegenstand gesammelt","Item Collected","Item Collected","Item Collected","Objeto Recogido","Objeto Recogido","Objet Collecté","Oggetto Raccolto","アイテムを収集しました","아이템 획득","Item Coletado","Item Recolhido","Предмет собран","物品已收集","物品已收集"
"TOAST_ITEM_EQUIPPED_MESSAGE","Gegenstand ausgerüstet: {item_name}!","Item equipped: {item_name}!","Item equipped: {item_name}!","Item equipped: {item_name}!","¡Objeto equipado: {item_name}!","¡Objeto equipado: {item_name}!","Objet équipé : {item_name} !","Oggetto equipaggiato: {item_name}!","アイテムを装備しました: {item_name}！","아이템 장착: {item_name}!","Item equipado: {item_name}!","Item equipado: {item_name}!","Предмет экипирован: {item_name}!","物品已装备：{item_name}！","物品已裝備：{item_name}！"
"TOAST_ITEM_USED_MESSAGE","Gegenstand benutzt: {item_name}!","Item used: {item_name}!","Item used: {item_name}!","Item used: {item_name}!","¡Objeto usado: {item_name}!","¡Objeto usado: {item_name}!","Objet utilisé : {item_name} !","Oggetto usato: {item_name}!","アイテムを使用しました: {item_name}！","아이템 사용: {item_name}!","Item usado: {item_name}!","Item usado: {item_name}!","Предмет использован: {item_name}!","物品已使用：{item_name}！","物品已使用：{item_name}！"
"TOAST_LOAD_SUCCESS_MESSAGE","Spiel erfolgreich geladen!","Game loaded successfully!","Game loaded successfully!","Game loaded successfully!","¡Juego cargado con éxito!","¡Juego cargado con éxito!","Jeu chargé avec succès !","Gioco caricato con successo!","ゲームが正常にロードされました！","게임이 성공적으로 로드되었습니다!","Jogo carregado com sucesso!","Jogo carregado com sucesso!","Игра успешно загружена!","游戏加载成功！","遊戲載入成功！"
"TOAST_SETTINGS_SAVED_MESSAGE","Ihre Spieleinstellungen wurden gespeichert.","Your game settings have been saved.","Your game settings have been saved.","Your game settings have been saved.","Tu configuración de juego ha sido guardada.","Tu configuración de juego ha sido guardada.","Vos paramètres de jeu ont été sauvegardés.","Le tue impostazioni di gioco sono state salvate.","ゲーム設定が保存されました。","게임 설정이 저장되었습니다.","Suas configurações de jogo foram salvas.","As suas definições de jogo foram guardadas.","Ваши игровые настройки были сохранены.","您的游戏设置已保存。","您的遊戲設定已儲存。"
"TOAST_SETTINGS_SAVED_TITLE","Einstellungen gespeichert","Settings Saved","Settings Saved","Settings Saved","Configuración Guardada","Configuración Guardada","Paramètres Sauvegardés","Impostazioni Salvate","設定を保存しました","설정 저장됨","Configurações Salvas","Definições Guardadas","Настройки сохранены","设置已保存","設定已儲存"
"TOOLTIP_ASPECT_RATIO_DESC","Passt das Seitenverhältnis des Bildschirms an (z.B. 16:9, 4:3).","Adjusts the screen aspect ratio (e.g., 16:9, 4:3).","Adjusts the screen aspect ratio (e.g., 16:9, 4:3).","Adjusts the screen aspect ratio (e.g., 16:9, 4:3).","Ajusta la relación de aspecto de la pantalla (ej: 16:9, 4:3).","","Ajuste le ratio d'aspect de l'écran (ex: 16:9, 4:3).","Regola le proporzioni dello schermo (es: 16:9, 4:3).","画面のアスペクト比を調整します（例：16:9、4:3）。","화면 비율을 조정합니다 (예: 16:9, 4:3).","Ajusta a proporção da tela (ex: 16:9, 4:3).","Ajusta a proporção do ecrã (ex: 16:9, 4:3).","Регулирует соотношение сторон экрана (например, 16:9, 4:3).","调整屏幕宽高比（例如：16:9，4:3）。","調整螢幕長寬比（例如：16:9，4:3）。"
"TOOLTIP_ASPECT_RATIO_TITLE","Seitenverhältnis","Aspect Ratio","Aspect Ratio","Aspect Ratio","Relación de Aspecto","","Ratio d'Aspect","Proporzioni dello Schermo","アスペクト比","화면 비율","Proporção da Tela","Proporção do Ecrã","Соотношение сторон","宽高比","長寬比"
